dataset,dataset_title,panel,method_pair,line_name,alpha,y_normalized,y_raw,pg_sigma_used,pg_sigma_plotted
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.28,0.48117167505650976,0.0244184508919715,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.3,0.44531540664587527,0.0211827605962753,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.32,0.4024132490193633,0.0173112452030181,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.34,0.36637170804401137,0.0140588358044624,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.36,0.33349623081162755,0.0110921338200569,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.38,0.27655909846304483,0.0059540942311286,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.4,0.25383943098807615,0.0039038583636283,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.42,0.2172645295991438,0.0006033182144165,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.44,0.1883289015270781,-0.0020078495144844,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.46,0.14063046322785402,-0.006312184035778,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.48,0.12942345458720264,-0.0073235109448432,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.5,0.09197593923369721,-0.010702796280384,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.52,0.0808760154934183,-0.0117044597864151,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.54,0.06591343949478777,-0.0130546912550926,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.56,0.05932841991182359,-0.0136489272117614,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.58,0.054567889248255154,-0.0140785202383995,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.6,0.053241258423888466,-0.0141982361674308,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.62,0.024706393733791104,-0.0167732387781143,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.64,0.025122596496153424,-0.0167356804013252,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.66,0.02524627666636156,-0.016724519431591,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.68,0.019682980785883177,-0.0172265544533729,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.7000000000000001,0.013741378804007564,-0.0177627280354499,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.72,0.005301404358516333,-0.0185243561863899,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.74,0.003153596649709992,-0.0187181755900383,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.76,0.0011447433644426151,-0.018899455666542,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.78,0.009318945801989057,-0.0181618109345436,,
MA,Massachusetts Fatal Overdoses,DPO_to_SPO+,BPR_to_SPO,SPO+ loss,0.8,0.002294275413712852,-0.018795721232891,,
