Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Global,2023,All ages,Both,Vitamin A deficiency,Percent of total DALYs,0.00038331432911138707,0.0002530340884454687,0.0005541889823393396
All Population,Global,1990 - 2023,All ages,Both,Vitamin A deficiency,DALYs annual % change,-0.032941078611315705,,
All Population,Global,2023,All ages,Both,Dietary iron deficiency,Percent of total DALYs,0.013960245107156795,0.00929234691513486,0.02070654385687225
All Population,Global,1990 - 2023,All ages,Both,Dietary iron deficiency,DALYs annual % change,-0.009673640541436431,,
All Population,Global,2023,All ages,Both,Other nutritional deficiencies,Percent of total DALYs,0.0006029538730591939,0.000456442585392859,0.0007956408992162171
All Population,Global,1990 - 2023,All ages,Both,Other nutritional deficiencies,DALYs annual % change,-0.035562221591928185,,
All Population,Global,2023,All ages,Both,Sexually transmitted infections excluding HIV,Percent of total DALYs,0.002869011828943984,0.001414913602091275,0.005133077915900415
All Population,Global,1990 - 2023,All ages,Both,Sexually transmitted infections excluding HIV,DALYs annual % change,-0.01264984272003265,,
All Population,Global,2023,All ages,Both,Syphilis,Percent of total DALYs,0.0024484631786688923,0.0009009173943585623,0.004733174850049536
All Population,Global,1990 - 2023,All ages,Both,Syphilis,DALYs annual % change,-0.014340937372218749,,
All Population,Global,2023,All ages,Both,Chlamydial infection,Percent of total DALYs,0.00006559162468626569,0.00004688810140086591,0.00008979489326530535
All Population,Global,1990 - 2023,All ages,Both,Chlamydial infection,DALYs annual % change,-0.002951996716303852,,
All Population,Global,2023,All ages,Both,Gonococcal infection,Percent of total DALYs,0.00002787732447107971,0.00002081035973843603,0.00003812836254782071
All Population,Global,1990 - 2023,All ages,Both,Gonococcal infection,DALYs annual % change,-0.005920430256467322,,
All Population,Global,2023,All ages,Both,Trichomoniasis,Percent of total DALYs,0.00008467594952477518,0.0000334688727207003,0.00016951974047346643
All Population,Global,1990 - 2023,All ages,Both,Trichomoniasis,DALYs annual % change,0.005582187971156756,,
All Population,Global,2023,All ages,Both,Genital herpes,Percent of total DALYs,0.00007706329285928973,0.00003428659304136243,0.00016130725399304992
All Population,Global,1990 - 2023,All ages,Both,Genital herpes,DALYs annual % change,0.004759016249881907,,
All Population,Global,2023,All ages,Both,Other sexually transmitted infections,Percent of total DALYs,0.00016534045873368338,0.00012379639417553923,0.0002272208750042281
All Population,Global,1990 - 2023,All ages,Both,Other sexually transmitted infections,DALYs annual % change,-0.003247263646891791,,
All Population,Global,2023,All ages,Both,Acute hepatitis,Percent of total DALYs,0.001988353793534816,0.001384132137451745,0.00266265916023057
All Population,Global,1990 - 2023,All ages,Both,Acute hepatitis,DALYs annual % change,-0.03831281338442098,,
All Population,Global,2023,All ages,Both,Acute hepatitis A,Percent of total DALYs,0.000834693145170967,0.0005170986886336611,0.001236451810778378
All Population,Global,1990 - 2023,All ages,Both,Acute hepatitis A,DALYs annual % change,-0.052543099042563796,,
All Population,Global,2023,All ages,Both,Acute hepatitis B,Percent of total DALYs,0.000911343886447523,0.0005511001360060464,0.0013684413308575295
All Population,Global,1990 - 2023,All ages,Both,Acute hepatitis B,DALYs annual % change,-0.020764681339232056,,
All Population,Global,2023,All ages,Both,Acute hepatitis C,Percent of total DALYs,0.00011611186912007575,0.00005512021521629101,0.00020094660114688745
All Population,Global,1990 - 2023,All ages,Both,Acute hepatitis C,DALYs annual % change,-0.03571907502838037,,
All Population,Global,2023,All ages,Both,Acute hepatitis E,Percent of total DALYs,0.00012620489279625214,0.00007545661029344736,0.00020663320170531127
All Population,Global,1990 - 2023,All ages,Both,Acute hepatitis E,DALYs annual % change,-0.00025902229941493146,,
All Population,Global,2023,All ages,Both,Leprosy,Percent of total DALYs,0.000006593646802132293,0.0000045673097620609024,0.000009050903092356937
All Population,Global,1990 - 2023,All ages,Both,Leprosy,DALYs annual % change,-0.023576626375940685,,
All Population,Global,2023,All ages,Both,Other unspecified infectious diseases,Percent of total DALYs,0.0033058191306098686,0.002149557204635761,0.0049774443361408575
All Population,Global,1990 - 2023,All ages,Both,Other unspecified infectious diseases,DALYs annual % change,-0.0018945178615003067,,
All Population,Global,2023,All ages,Both,Non-communicable diseases,Percent of total DALYs,0.6435742906791344,0.6267671665918664,0.6590464131709174
All Population,Global,1990 - 2023,All ages,Both,Non-communicable diseases,DALYs annual % change,0.0012478054518663797,,
All Population,Global,2023,All ages,Both,Neoplasms,Percent of total DALYs,0.09880369943902335,0.0898196423144213,0.11026532998898476
All Population,Global,1990 - 2023,All ages,Both,Neoplasms,DALYs annual % change,0.0005640751921024965,,
All Population,Global,2023,All ages,Both,Esophageal cancer,Percent of total DALYs,0.0050237866270078585,0.0043573098596780425,0.005856590369285667
